country_code,year,obs_value
LVA,2010,19.769
LVA,2011,18.736
LVA,2012,17.613
LVA,2013,16.683
LVA,2014,15.115
LVA,2015,13.754
LVA,2016,11.994
LVA,2017,11.193
LVA,2018,11.323
LVA,2019,11.632
NLD,2010,7.415
NLD,2011,7.141
CHE,2010,5.076
CHE,2011,4.905
CHE,2012,4.752
CHE,2013,4.557
CHE,2014,4.288
CHE,2015,4.029
CHE,2016,3.529
CHE,2017,3.2
DZA,2018,14.91
DZA,2019,14.968
AND,2010,3.552
AND,2011,3.301
AND,2012,3.241
AND,2013,3.295
AND,2014,3.343
AND,2015,3.353
AND,2016,3.145
AND,2017,2.993
AND,2018,3.072
AND,2019,3.16
ATG,2013,7.813
ATG,2014,8.075
ATG,2015,8.162
ATG,2016,8.014
ATG,2017,7.904
ATG,2018,8.03
ATG,2019,8.306
BLR,2010,30.789
BLR,2011,30.821
BMU,2012,2.579
BMU,2013,2.594
BMU,2014,2.609
BMU,2015,2.627
BMU,2016,2.748
BMU,2017,2.888
BMU,2018,2.909
BMU,2019,2.872
BRA,2011,6.677
BRA,2012,6.36
BRA,2013,6.074
BRA,2014,5.787
BRA,2015,5.669
BRA,2016,5.763
BRA,2017,5.696
BRA,2018,5.726
BRA,2019,5.799
CIV,2011,14.184
CIV,2012,15.165
CIV,2013,16.479
CIV,2014,17.203
CIV,2015,17.176
CIV,2016,15.644
CIV,2017,14.385
CIV,2018,14.078
CIV,2019,14.081
CUB,2010,10.639
CUB,2011,10.319
CUB,2012,10.953
CUB,2013,11.507
CUB,2014,12.072
CUB,2015,12.707
CUB,2016,12.417
CUB,2017,12.383
CUB,2018,12.314
CUB,2019,12.053
COD,2010,5.129
COD,2011,5.23
COD,2012,5.618
COD,2013,6.009
COD,2014,6.233
DJI,2013,22.392
DJI,2014,22.008
DJI,2015,21.912
DJI,2016,21.666
DJI,2017,21.448
DJI,2018,21.373
DJI,2019,21.413
EGY,2013,30.779
EGY,2014,30.118
EGY,2015,30.907
EGY,2016,29.686
EGY,2017,28.698
EGY,2018,28.358
EGY,2019,28.166
GNQ,2019,12.502
GAB,2010,16.263
GEO,2019,17.643
IND,2018,22.171
IND,2019,22.796
IDN,2016,11.437
IDN,2017,11.308
IDN,2018,11.541
IDN,2019,12.069
IRN,2015,15.151
IRN,2016,14.585
IRN,2017,14.263
IRN,2018,14.08
IRN,2019,14.03
JOR,2011,10.068
JOR,2012,9.905
JOR,2013,9.774
JOR,2014,9.841
JOR,2015,9.86
JOR,2016,10.096
JOR,2017,10.216
JOR,2018,10.369
JOR,2019,10.603
KWT,2010,12.621
KWT,2011,11.851
KWT,2012,11.953
KWT,2013,11.775
KWT,2014,11.616
LAO,2012,7.509
LAO,2013,7.177
LAO,2014,6.881
LAO,2015,6.677
LAO,2016,6.497
LAO,2017,6.354
LAO,2018,6.518
LAO,2019,6.966
LSO,2018,15.621
LSO,2019,15.382
MYS,2010,9.148
MYS,2011,9.198
NAM,2010,11.746
NAM,2011,11.675
NAM,2012,11.624
NAM,2013,11.814
NAM,2014,11.878
NAM,2015,11.851
NAM,2016,11.637
NAM,2017,11.366
NAM,2018,11.11
NAM,2019,10.815
PRK,2010,16.113
PRK,2011,16.831
ASM,2010,3.641
ASM,2011,3.709
NRU,2010,5.802
NRU,2011,5.6
NRU,2012,5.394
NRU,2013,5.037
NRU,2014,4.521
NRU,2015,4.277
NRU,2016,4.199
COL,2010,7.324
COL,2011,7.024
COL,2012,6.965
COL,2013,6.872
COL,2014,6.774
COL,2015,6.831
COL,2016,6.759
COL,2017,6.739
COL,2018,6.812
COL,2019,6.93
CRI,2010,4.669
CRI,2011,4.582
CRI,2012,4.65
CRI,2013,4.761
CRI,2014,4.852
CRI,2015,5.027
CRI,2016,5.142
CRI,2017,5.069
CRI,2018,5.152
CRI,2019,5.216
FRA,2010,5.622
FRA,2011,5.479
FRA,2012,5.247
FRA,2013,4.923
FRA,2014,4.559
FRA,2015,4.38
FRA,2016,4.034
FRA,2017,3.915
FRA,2018,3.913
FRA,2019,3.95
GRC,2010,13.151
GRC,2011,13.127
GRC,2012,12.86
GRC,2013,12.113
GRC,2014,11.453
GRC,2015,11.061
GRC,2016,10.464
GRC,2017,10.158
GRC,2018,10.292
GRC,2019,10.37
HUN,2010,19.807
HUN,2011,19.349
HUN,2012,18.792
HUN,2013,17.809
HUN,2014,17.37
HUN,2015,17.297
HUN,2016,16.303
HUN,2017,16.132
HUN,2018,16.27
HUN,2019,16.001
CZE,2010,15.653
CZE,2011,15.455
CZE,2012,14.996
CZE,2013,14.47
CZE,2014,13.71
CZE,2015,13.442
CZE,2016,12.968
CZE,2017,12.783
CZE,2018,13.017
CZE,2019,13.082
DEU,2010,9.497
DEU,2011,9.206
DEU,2012,8.759
DEU,2013,8.295
DEU,2014,7.676
DEU,2015,7.398
